Ullman,,,,,,,,,,,,,,,,
30,,,56,,,75,,,92,,,109,,,121,
1680,3,,2168,13,,2488,23,,2904,35,,3364,48,,1820,58
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
148,,,166,,,181,,,197,,,211,,,222,
1852,84,,1784,103,,1908,120,,1564,145,,1732,157,,1964,171
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
1776,206,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
VF2,,,,,,,,,,,,,,,,
30,,,56,,,75,,,92,,,109,,,121,
1592,0,,1816,0,,1880,0,,1752,0,,1692,0,,1692,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
148,,,166,,,181,,,197,,,211,,,222,
1720,0,,1692,0,,1760,0,,1420,0,,1592,0,,1816,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
1644,0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Ullman,,,,,,VF2,,,,,,,,
30,1680,3,,,,30,1592,0,,,,,,,,
56,2168,13,,,,56,1816,0,,,,,,,,
75,2488,23,,,,75,1880,0,,,,,,,,
92,2904,35,,,,92,1752,0,,,,,,,,
109,3364,48,,,,109,1692,0,,,,,,,,
121,1820,58,,,,121,1692,0,,,,,,,,
148,1852,84,,,,148,1720,0,,,,,,,,
166,1784,103,,,,166,1692,0,,,,,,,,
181,1908,120,,,,181,1760,0,,,,,,,,
197,1564,145,,,,197,1420,0,,,,,,,,
211,1732,157,,,,211,1592,0,,,,,,,,
222,1964,171,,,,222,1816,0,,,,,,,,
250,1776,206,,,,250,1644,0,,,,,,,,
